OBJECTID,poly_SourceOID,poly_IncidentName,poly_FeatureCategory,poly_MapMethod,poly_GISAcres,poly_DeleteThis,poly_FeatureAccess,poly_FeatureStatus,poly_IsVisible,poly_CreateDate,poly_DateCurrent,poly_PolygonDateTime,poly_IRWINID,poly_FORID,poly_Acres_AutoCalc,poly_SourceGlobalID,poly_Source,attr_SourceOID,attr_ABCDMisc,attr_ADSPermissionState,attr_CalculatedAcres,attr_ContainmentDateTime,attr_ControlDateTime,attr_CreatedBySystem,attr_IncidentSize,attr_DiscoveryAcres,attr_DispatchCenterID,attr_EstimatedCostToDate,attr_FinalAcres,attr_FFReportApprovedByTitle,attr_FFReportApprovedByUnit,attr_FFReportApprovedDate,attr_FireBehaviorGeneral,attr_FireBehaviorGeneral1,attr_FireBehaviorGeneral2,attr_FireBehaviorGeneral3,attr_FireCause,attr_FireCauseGeneral,attr_FireCauseSpecific,attr_FireCode,attr_FireDepartmentID,attr_FireDiscoveryDateTime,attr_FireMgmtComplexity,attr_FireOutDateTime,attr_FireStrategyConfinePercent,attr_FireStrategyFullSuppPrcnt,attr_FireStrategyMonitorPercent,attr_FireStrategyPointZonePrcnt,attr_FSJobCode,attr_FSOverrideCode,attr_GACC,attr_ICS209ReportDateTime,attr_ICS209RptForTimePeriodFrom,attr_ICS209RptForTimePeriodTo,attr_ICS209ReportStatus,attr_IncidentManagementOrg,attr_IncidentName,attr_IncidentShortDescription,attr_IncidentTypeCategory,attr_IncidentTypeKind,attr_InitialLatitude,attr_InitialLongitude,attr_InitialResponseAcres,attr_InitialResponseDateTime,attr_IrwinID,attr_IsFireCauseInvestigated,attr_IsFireCodeRequested,attr_IsFSAssisted,attr_IsMultiJurisdictional,attr_IsReimbursable,attr_IsTrespass,attr_IsUnifiedCommand,attr_LocalIncidentIdentifier,attr_ModifiedBySystem,attr_PercentContained,attr_PercentPerimToBeContained,attr_POOCity,attr_POOCounty,attr_POODispatchCenterID,attr_POOFips,attr_POOJurisdictionalAgency,attr_POOJurisdictionalUnit,attr_POOJurisdictUnitParentUnit,attr_POOLandownerCategory,attr_POOLandownerKind,attr_POOLegalDescPrincipalMerid,attr_POOLegalDescQtr,attr_POOLegalDescQtrQtr,attr_POOLegalDescRange,attr_POOLegalDescSection,attr_POOLegalDescTownship,attr_POOPredictiveServiceAreaID,attr_POOProtectingAgency,attr_POOProtectingUnit,attr_POOState,attr_PredominantFuelGroup,attr_PredominantFuelModel,attr_PrimaryFuelModel,attr_SecondaryFuelModel,attr_TotalIncidentPersonnel,attr_UniqueFireIdentifier,attr_FORID,attr_WFDSSDecisionStatus,attr_EstimatedFinalCost,attr_OrganizationalAssessment,attr_StratDecisionPublishDate,attr_CreatedOnDateTime_dt,attr_ModifiedOnDateTime_dt,attr_Source,attr_ActiveFireCandidate,attr_IsCpxChild,attr_CpxName,attr_CpxID,attr_SourceGlobalID,GlobalID,Shape__Area,Shape__Length,attr_IncidentComplexityLevel
37271,2995,Covington Drive,Wildfire Daily Fire Perimeter,Mixed Methods,346.478971642555,No,Public,Approved,Yes,3/2/2025 3:16:46 PM,3/8/2025 4:02:14 PM,3/2/2025 3:17:33 PM,{17400B93-8F32-48E1-B16F-782B002EAE57},,2038.96827020994,{030B44E5-4793-42B9-B8B3-BA84358420CB},2025 NIFS,38360404,,ICS209,3131.1147,,,wildcade,2059,0.1,SCSCC,2880000,,,,,Minimal,Smoldering,Backing,Flanking,Undetermined,,,SF6C,,3/2/2025 3:12:07 PM,,,0,100,0,0,PN,,SACC,4/11/2025 5:21:17 PM,4/8/2025 12:45:00 AM,4/11/2025 5:00:00 PM,U,Type 4 IC,Covington Drive Compact,"2 miles west of Myrtle Beach, SC",WF,FI,33.804617,-78.8596,,,{17400B93-8F32-48E1-B16F-782B002EAE57},,0,,,,,0,250089,ics209,90,100,Myrtle Beach,Horry,SCSCC,45051,FC,SCSCS,,State,Other,,,,,,,SA37,FC,SCSCS,US-SC,,,Southern Rough,Timber (Litter and Understory),5,2025-SCSCS-250089,,No Decision,,,,3/2/2025 3:16:33 PM,4/11/2025 5:21:17 PM,IRWIN,1,0,,,{17400B93-8F32-48E1-B16F-782B002EAE57},236cba3c-ecf9-48bd-b2d1-3aff46603c2d,0.000803162642569077,0.194590091287407,Type 4 Incident
37551,5270,Wood Duck,Wildfire Daily Fire Perimeter,Mixed Methods,6.24,No,Public,Approved,Yes,3/14/2025 6:46:03 PM,3/17/2025 12:38:00 PM,3/14/2025 6:54:02 PM,{8024D1FE-2D49-43CC-B6E9-3797C53D3503},,6.23780872837566,{47B98E97-1DB4-4423-B7F0-44C9985CD093},2025 NIFS,38397079,,DEFAULT,,,,iffrs,6.24,0.01,WIWISC,,6.24,,,,,,,,Human,,,SG8D,,3/14/2025 4:00:00 PM,,,,,,,,,EACC,,,,,,Wood Duck,,WF,FI,43.13694,-91.06918,,,{8024D1FE-2D49-43CC-B6E9-3797C53D3503},,0,,,,,,FIRE123209,iffrs,,,,Crawford,WIWIC,55023,,,,Private,Private,,,,,,,EA05,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123209,,No Decision,,,,3/14/2025 4:45:18 PM,4/12/2025 12:09:38 PM,IRWIN,1,0,,,{38092866-DA28-4AA7-BB21-C3A6208968C8},03b7bc67-a391-4f35-be7f-619d429b74e6,2.79291748483956E-06,0.00899059349501673,
37659,5693,RL 006 RIVER ROAD 13,Wildfire Daily Fire Perimeter,Auto-generated for InFORM,400,No,Public,Approved,Yes,3/17/2025 2:47:34 PM,3/18/2025 3:01:59 PM,3/17/2025 6:51:39 PM,{27C52149-8499-4607-BC3C-981E3FDC99FB},,332.280323031519,{3AA8DD3C-E5A5-42FC-85EF-E954268ED0CB},2025 NIFS,38397245,,DEFAULT,,,,wildcad,400,0.1,MNRLC,1000,,,,,Minimal,,Creeping,,Undetermined,,,SG9Y,,3/14/2025 10:40:00 PM,,,0,100,0,0,,,EACC,4/1/2025 8:08:35 PM,4/1/2025 1:00:00 PM,4/1/2025 8:00:00 PM,F,Type 4 IC,RL 006 RIVER ROAD 13,"16 miles NW of the community of Red Lake, MN.",WF,FI,47.92037,-95.37949,,,{27C52149-8499-4607-BC3C-981E3FDC99FB},,0,0,0,0,0,0,000006,ics209,100,100,Red Lake,Clearwater,MNMNCC,27029,BIA,MNRLA,,BIA,Federal,,,,,,,EA01,BIA,MNRLA,US-MN,,,Tall Grass (2.5 feet),Timber (Grass and Understory),1,2025-MNRLA-000006,,No Decision,,,,3/14/2025 10:51:16 PM,4/1/2025 8:08:34 PM,IRWIN,1,0,,,{9839EC98-9FFD-4F8F-ADE8-1FB10DF62A4C},c96e4df7-da07-4065-86f1-1af52a332716,0.000161803618993872,0.0782402067671473,Type 4 Incident
37610,5650,Fifty,Wildfire Daily Fire Perimeter,Mixed Methods,98.272344694481,No,Public,Approved,Yes,3/17/2025 12:44:29 AM,3/17/2025 1:07:02 PM,3/17/2025 1:55:09 AM,{878EE32C-C3C9-4D4B-94F9-8B827557538F},,98.2719960275245,{A53E0567-09F4-4EE8-A779-E05BB5FCAB23},2025 NIFS,38397560,,DEFAULT,,,,firesponse,98,98,TXTIC,,,,,,,,,,Human,Equipment and vehicle use,Passenger vehicle/motorized RV,SHM0,,3/16/2025 9:51:24 PM,Type 5 Incident,,,,,,,,SACC,,,,,,Fifty,,WF,FI,26.48072266,-97.61652726,,,{878EE32C-C3C9-4D4B-94F9-8B827557538F},,0,,,,,0,251315,firesponse,100,,,Willacy,TXTIC,48489,SFS,TXTXS,,Private,Private,,,,,,,SA15,SFS,TXTXS,US-TX,,,Timber (Litter and Understory),,,2025-TXTXS-251315,,No Decision,,,,3/16/2025 10:12:55 PM,4/8/2025 3:43:09 PM,IRWIN,1,0,,,{64EE57F5-42F0-4DAC-91A3-87310648DD77},b72df433-c1d8-4825-9e17-ea6724f91011,3.59933787876798E-05,0.0321627971582483,Type 5 Incident
38389,5726,Sunrise,Wildfire Daily Fire Perimeter,Mixed Methods,2.2,No,Public,Approved,Yes,3/17/2025 5:05:39 PM,4/9/2025 2:20:41 PM,4/9/2025 2:41:14 AM,{5510153E-71E5-4A36-B447-7175193B6B28},,2.20623423920023,{44280264-5353-4412-87F0-C45EE1A38A6E},2025 NIFS,38397685,,DEFAULT,,,,iffrs,2.2,0.01,WIWISC,,2.2,,,,,,,,Human,,,SHS9,,3/17/2025 4:42:00 PM,,,,,,,,,EACC,,,,,,Sunrise,,WF,FI,43.44583,-90.00843,,,{5510153E-71E5-4A36-B447-7175193B6B28},,0,,,,,,FIRE123240,iffrs,,,,Sauk,WIWIC,55111,,,,Private,Private,,,,,,,EA05,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123240,,No Decision,,,,3/17/2025 5:05:24 PM,4/10/2025 3:04:28 PM,IRWIN,1,0,,,{7096E95E-39BB-47BF-9CA1-8C70A2508411},0ad4d7d2-80e1-4398-b66d-751f82196fb4,9.92768718788284E-07,0.00441832219466991,
38241,5736,Akron,Wildfire Daily Fire Perimeter,Mixed Methods,0.17,No,Public,Approved,Yes,3/17/2025 5:48:28 PM,4/3/2025 12:39:08 PM,3/29/2025 4:46:29 PM,{F9E18A83-8B4B-40F6-8E25-07BDBA8E4DE1},,0.173744076273746,{D138B6E0-7730-4893-B6B0-AA4F1FB79659},2025 NIFS,38397698,,DEFAULT,,,,iffrs,0.17,0.01,WIWISC,,0.17,,,,,,,,Human,,,SHT5,,3/17/2025 5:39:00 PM,,,,,,,,,EACC,,,,,,Akron,,WF,FI,44.2451,-89.51251,,,{F9E18A83-8B4B-40F6-8E25-07BDBA8E4DE1},,0,,,,,,FIRE123244,iffrs,,,,Portage,WIWIC,55097,,,,Private,Private,,,,,,,EA05,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123244,,No Decision,,,,3/17/2025 5:48:04 PM,4/10/2025 8:28:01 PM,IRWIN,1,0,,,{514887C0-8E79-4CC4-8893-62DA3D453F89},cd95a761-7b47-4356-91d4-3fdc0dd6baa8,7.92192622611765E-08,0.00124283584959362,
37647,7214,Big Island,Wildfire Daily Fire Perimeter,Mixed Methods,810.56,No,Public,Approved,Yes,3/25/2025 6:33:59 PM,3/25/2025 6:33:59 PM,3/25/2025 6:22:23 PM,{2F26579E-7210-4161-BAC2-FF3CC77CFC50},,811.095715389048,{2B7D62FD-0A81-448F-8708-466FC1D0B9FB},2025 NIFS,38397759,,DEFAULT,,,,iffrs,810.56,2,WIWISC,15000,810.56,,,,Minimal,,,,Human,,,SHW6,,3/17/2025 9:15:00 PM,,,0,100,0,0,,,EACC,3/20/2025 5:58:42 PM,3/20/2025 12:00:00 PM,3/20/2025 5:00:00 PM,F,Type 4 IC,Big Island,". Seven miles southwest of Berlin, W",WF,FI,43.92567,-89.06903,,,{2F26579E-7210-4161-BAC2-FF3CC77CFC50},,0,,,,,0,FIRE123252,iffrs,100,100,,Green Lake,WIWIC,55047,DNR,WIWIS,,State,Other,,,,,,,EA05,DNR,WIWIS,US-WI,,,Tall Grass (2.5 feet),,10,2025-WIWIS-FIRE123252,,No Decision,,,,3/17/2025 9:38:39 PM,4/12/2025 7:15:54 PM,IRWIN,1,0,,,{1E21D1FC-358C-498B-AC1F-5B79550D750A},b7a74ea7-2953-425b-8d01-5022d8cd0331,0.000367911804687537,0.102218867387008,Type 4 Incident
37653,5802,Pintail ,Wildfire Daily Fire Perimeter,Mixed Methods,0.84,No,Public,Approved,Yes,3/17/2025 10:48:17 PM,4/4/2025 7:57:41 PM,3/17/2025 10:29:35 PM,{C11AFDFC-282D-42B6-B576-3469CDE27332},,0.843374573797402,{4DBB3D8D-7731-429E-ABEA-CF78858D7E6E},2025 NIFS,38397766,,DEFAULT,,,,iffrs,0.84,0.01,WIWISC,,0.84,,,,,,,,Human,,,SHW8,,3/17/2025 10:00:00 PM,,,,,,,,,EACC,,,,,,Pintail,,WF,FI,43.12479,-90.46495,,,{C11AFDFC-282D-42B6-B576-3469CDE27332},,0,,,,,,FIRE123253,iffrs,,,,Grant,WIWIC,55043,,,,Private,Private,,,,,,,EA05,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123253,,No Decision,,,,3/17/2025 10:03:33 PM,4/11/2025 12:12:10 PM,IRWIN,1,0,,,{8AD800DD-2A7D-4BA3-81BC-1417A5B95FD9},a01bfb6f-42f7-45e2-b4dc-996fadcc37fb,3.77530795958592E-07,0.00358436649153671,
37675,5913,Clover,Wildfire Daily Fire Perimeter,Mixed Methods,27.61,No,Public,Approved,Yes,3/18/2025 5:42:36 PM,3/18/2025 8:21:16 PM,3/18/2025 6:10:20 PM,{3B960DB6-963B-42B8-BE0B-0FD2C47EFCBC},,27.6183825770688,{1E4E001B-2005-40C1-A9AC-F5826463D3E5},2025 NIFS,38397771,,DEFAULT,,,,iffrs,27.61,0.5,WIWISC,,27.61,,,,,,,,Human,,,SHX1,,3/17/2025 10:00:00 PM,,,,,,,,,EACC,,,,,,Clover,,WF,FI,44.00088,-89.70692,,,{3B960DB6-963B-42B8-BE0B-0FD2C47EFCBC},,0,,,,,,FIRE123255,iffrs,,,,Adams,WIWIC,55001,,,,Private,Private,,,,,,,EA05,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123255,,No Decision,,,,3/17/2025 10:09:04 PM,4/12/2025 7:27:12 PM,IRWIN,1,0,,,{BDD2CF1F-D369-4BB3-9DB6-ECFC151EF8FD},740c415d-edf9-43f7-800e-07a5ba6bde4d,1.2541956266432E-05,0.0232817862619265,
37777,5941,Swan ,Wildfire Daily Fire Perimeter,Phone/Tablet,19.33,No,Public,Approved,Yes,3/18/2025 7:55:38 PM,3/25/2025 2:48:42 PM,3/18/2025 8:05:51 PM,{1EE45CDD-42FF-4781-B801-B5CD1060DD87},,19.3408066899401,{133327F4-7696-4662-A555-4E9913E97E76},2025 NIFS,38397926,,DEFAULT,,,,iffrs,19.33,0.01,WIWISC,,19.33,,,,,,,,Human,,,SH0N,,3/18/2025 4:55:00 PM,,,,,,,,,EACC,,,,,,Swan,,WF,FI,43.36756,-90.85785,,,{1EE45CDD-42FF-4781-B801-B5CD1060DD87},,0,,,,,,FIRE123261,iffrs,,,,Crawford,WIWIC,55023,,,,Private,Private,,,,,,,EA05,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123261,,No Decision,,,,3/18/2025 5:08:13 PM,4/12/2025 11:32:00 AM,IRWIN,1,0,,,{7F5E3E72-C1C5-4118-8FF5-DE0D9E5A2CF1},e83c738e-03d8-4db0-99c8-1c301916ffa8,8.69223003974184E-06,0.0227181163577571,
